Source,Target,Weight,If_across,Type,Category
McGill Univeristy ,Her Majesty the Queen in the Right of Canada as Represented by the Minister of Agriculture and Agri-Food Soils and Crops Research and Dev ,1,1,directed,Mobility
Genome Atlantic ,Hoffmann-La Roche Inc.,1,1,directed,Mobility
McGill Univeristy ,Hong Kong Polytechnic University ,2,1,directed,Mobility
"Paladin Labs, Inc.",Hong Kong Polytechnic University ,1,1,directed,Mobility
Celmed Biosciences Inc.,Hopital Maisonneuve-Rosemont ,1,1,directed,Mobility
Kiadis Pharma Canada Inc.,Hopital Maisonneuve-Rosemont ,1,1,directed,Mobility
"RSEM, Limited Partnership ",Hopital Maisonneuve-Rosemont ,1,0,directed,Mobility
Universite d'Angers ,Hopital Maisonneuve-Rosemont ,2,0,directed,Mobility
Hospital Sainte-Justine ,Hopital Sainte-Justine ,2,1,directed,Mobility
McGill Univeristy ,Hopital Sainte-Justine ,3,0,directed,Mobility
National Research Coucil of Canada ,HT Materials Corporation ,1,1,directed,Mobility
McGill Univeristy ,"Hybridon, Inc.",2,1,directed,Mobility
3M Innovative Properties Company (St.,Hydro-Quebec ,1,1,undirected,Cooperation
ACEP Inc ,Hydro-Quebec ,1,0,undirected,Cooperation
"Board of Regents, The University of Texas System ",Hydro-Quebec ,4,1,directed,Mobility
Centre National de la Rechecch Scientifique ,Hydro-Quebec ,32,1,undirected,Cooperation
Centre National de la Rechecch Scientifique ,Hydro-Quebec ,2,1,directed,Mobility
CNRS ,Hydro-Quebec ,2,1,undirected,Cooperation
CNRS ,Hydro-Quebec ,1,1,directed,Mobility
CONSORZIO INTERUNIVERSITARIO NAZIONALE PER LA SCIENZA E TECNOLOGIA DEI MATERIALI INSTM ,Hydro-Quebec ,1,1,undirected,Cooperation
"Dai-Ichi Kogyo Seiyaku Co., Ltd.",Hydro-Quebec ,1,1,undirected,Cooperation
FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.,Hydro-Quebec ,1,1,undirected,Cooperation
FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.,Hydro-Quebec ,1,1,directed,Mobility
Hydro-Quebec and McGill University ,Hydro-Quebec ,6,0,directed,Mobility
Institute of Organic Chemistry National Academy of Sciences of Ukraine ,Hydro-Quebec ,2,1,directed,Mobility
Johnson Matthey Public Limited Company ,Hydro-Quebec ,2,1,directed,Mobility
McGill Univeristy ,Hydro-Quebec ,2,0,directed,Mobility
Merck Frosst Company ,Hydro-Quebec ,1,1,directed,Mobility
SHOWA DENKO K.K.,Hydro-Quebec ,1,1,directed,Mobility
Societe Nationale Elf Aquitaine ,Hydro-Quebec ,3,1,directed,Mobility
Universite d'Angers ,Hydro-Quebec ,2,1,directed,Mobility
Canadian Industries Limited ,ICI Australia Limited ,1,1,undirected,Cooperation
Ibex Technologies ,ID Biomedical Corporation of Quebec ,1,1,directed,Mobility
"Ayerst, McKeena & Harrison, Inc.",Imperial Chemical Industries PLC ,1,1,directed,Mobility
Institut Armand Frappier ,Imperial Chemical Industries PLC ,3,1,directed,Mobility
Bio-Mega Inc.,Institut de Cardiologie de Montreal ,1,1,directed,Mobility
Clinical Research Institute of Montreal ,Institut de Cardiologie de Montreal ,2,0,directed,Mobility
"Cornell Research Foundation, Inc.",Institut de Cardiologie de Montreal ,3,1,undirected,Cooperation
Humphries; Keith ,Institut de Cardiologie de Montreal ,1,1,directed,Mobility
